endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Jardim Botânico, 192 - Jardim Botânico, Rio de Janeiro - RJ",1.620.000,880, 100 ,3,3,2
"Rua da Assembléia, 85 - Centro, Rio de Janeiro - RJ",partir,, 21-408 ,--,--,--
"Avenida Afonso Arinos de Melo Franco, 191 - Barra da Tijuca, Rio de Janeiro - RJ",680.000,1.030, 65 ,2,3,1
"Rua Timóteo da Costa, 1100 - Leblon, Rio de Janeiro - RJ",1.400.000,1.521, 93 ,2,2,1
"Rua Almirante Alexandrino, 3780 - Santa Teresa, Rio de Janeiro - RJ",490.000,727, 86 ,2,2,1
"Rua Honório de Barros, 23 - Flamengo, Rio de Janeiro - RJ",816.000,850, 68 ,2,2,1
"Rua das Laranjeiras, 103 - Laranjeiras, Rio de Janeiro - RJ",790.000,676, 72 ,2,2,1
"Rua Humberto de Campos, 699 - Leblon, Rio de Janeiro - RJ",4.700.000,3.414, 157 ,4,5,2
"Rua das Marrecas, 11 - Centro, Rio de Janeiro - RJ",415.000,, 33-79 ,1,1,--
"Avenida Maracanã, 1228 - Tijuca, Rio de Janeiro - RJ",850.000,1.074, 103 ,3,2,2
"Rua Belfort Roxo, 391 - Copacabana, Rio de Janeiro - RJ",650.000,680, 50 ,1,2,1
"Rua Sá Ferreira, 89 - Copacabana, Rio de Janeiro - RJ",700.000,1.360, 110 ,3,2,--
"Rua Marcos Paulo, 101 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",749.000,989, 90 ,3,3,2
"Rua Jorge Emílio Fontenelle - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",950.000,900, 125 ,3,3,2
"Rua General Barbosa Lima, 34 - Copacabana, Rio de Janeiro - RJ",1.980.000,1.240, 112 ,3,2,--
"Rua das Marrecas, 11 - Centro, Rio de Janeiro - RJ",Consulta,, 32-66 ,1,1,--
"Estrada Velha da Tijuca, 511 - Alto da Boa Vista, Rio de Janeiro - RJ",590.000,200, 90 ,3,2,1
"Rua São Miguel, 335 - Tijuca, Rio de Janeiro - RJ",368.900,558, 67 ,2,3,1
"Rua Marquesa de Santos, 77 - Laranjeiras, Rio de Janeiro - RJ",1.100.000,1.500, 81 ,2,3,1
"Rua Gustavo Sampaio, 610 - Leme, Rio de Janeiro - RJ",860.000,878, 75 ,2,2,--
"Rua Araguaia, 1475 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",1.550.000,1.870, 260 ,5,4,3
"Rua São Francisco Xavier, 218 - Tijuca, Rio de Janeiro - RJ",540.000,975, 90 ,2,3,1
"Rua Jorge Yunes, 174 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",690.000,890, 82 ,2,3,1
"Rua Comandante Rúbens Silva, 969 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",470.000,650, 80 ,3,2,1
"Praia do Flamengo, 392 - Flamengo, Rio de Janeiro - RJ",2.700.000,3.900, 325 ,4,4,1
"Avenida Padre Leonel Franca, 182 - Gávea, Rio de Janeiro - RJ",1.550.000,1.750, 120 ,3,3,2
"Rua Caiapó, 69 - Engenho Novo, Rio de Janeiro - RJ",350.000,150, 90 ,3,1,--
"Rua Flávio José da Costa, 455 - Pitangueiras, Rio de Janeiro - RJ",285.000,531, 56 ,2,2,1
"Rua Doutor Aníbal Moreira, 53 - Tijuca, Rio de Janeiro - RJ",760.000,1.100, 100 ,2,2,2
"Rua Nelson Mandela, 100 - Botafogo, Rio de Janeiro - RJ",1.350.000,1.500, 84 ,2,2,1
"Rua Henrique Fleiuss - Tijuca, Rio de Janeiro - RJ",2.400.000,, 694 ,4,4,3
"Rua Vinícius de Moraes, 277 - Ipanema, Rio de Janeiro - RJ",1.375.000,963, 102 ,2,2,--
"Rua General Roca - Tijuca, Rio de Janeiro - RJ",368.000,621, 60 ,1,2,1
"Rua Figueiredo Magalhães, 780 - Copacabana, Rio de Janeiro - RJ",1.290.000,1.500, 130 ,3,2,1
"Rua José Américo de Almeida, 688 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.600.000,1.499, 173 ,3,5,6
"Rua Cruz Lima - Flamengo, Rio de Janeiro - RJ",920.000,980, 70 ,2,3,1
"Avenida Vice-Presidente José Alencar, 1500 - Jacarepaguá, Rio de Janeiro - RJ",620.000,1.300,"
                78
              ","2
","2
","2
"
"Rua Ubaldino do Amaral, 15 - Centro, Rio de Janeiro - RJ",384.000,,"
                38-69
              ","1-2
","1-2
","1
"
"Rua Cândido Mendes, 240 - Glória, Rio de Janeiro - RJ",360.000,600,"
                45
              ","1
","1
","--
"
"Rua Maria Amália, 331 - Tijuca, Rio de Janeiro - RJ",690.000,1.850,"
                115
              ","3
","3
","2
"
"Rua Campos Elísios, 85 - Campo Grande, Rio de Janeiro - RJ",462.000,,"
                100
              ","3
","2
","5
"
"Rua Dona Mariana, 113 - Botafogo, Rio de Janeiro - RJ",680.000,820,"
                60
              ","1
","2
","--
"
"Rua Gustavo Sampaio, 220 - Leme, Rio de Janeiro - RJ",1.400.000,1.600,"
                117
              ","3
","4
","1
"
"Estrada Coronel Pedro Corrêa, 870 - Barra da Tijuca, Rio de Janeiro - RJ",340.000,670,"
                67
              ","2
","2
","1
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",612.000,,"
                36
              ","1
","1
","--
"
