preco,condominio,tamanho_m2,quartos,banheiros,vagas,bairro
1620000,880,100.0,3.0,3.0,2.0,jardim botânico
680000,1030,65.0,2.0,3.0,1.0,barra da tijuca
1400000,1521,93.0,2.0,2.0,1.0,leblon
490000,727,86.0,2.0,2.0,1.0,santa teresa
816000,850,68.0,2.0,2.0,1.0,flamengo
790000,676,72.0,2.0,2.0,1.0,laranjeiras
4700000,3414,157.0,4.0,5.0,2.0,leblon
850000,1074,103.0,3.0,2.0,2.0,tijuca
650000,680,50.0,1.0,2.0,1.0,copacabana
700000,1360,110.0,3.0,2.0,0.0,copacabana
749000,989,90.0,3.0,3.0,2.0,recreio dos bandeirantes
950000,900,125.0,3.0,3.0,2.0,recreio dos bandeirantes
1980000,1240,112.0,3.0,2.0,0.0,copacabana
590000,200,90.0,3.0,2.0,1.0,alto da boa vista
368900,558,67.0,2.0,3.0,1.0,tijuca
1100000,1500,81.0,2.0,3.0,1.0,laranjeiras
860000,878,75.0,2.0,2.0,0.0,leme
1550000,1870,260.0,5.0,4.0,3.0,freguesia
540000,975,90.0,2.0,3.0,1.0,tijuca
690000,890,82.0,2.0,3.0,1.0,recreio dos bandeirantes
470000,650,80.0,3.0,2.0,1.0,freguesia
2700000,3900,325.0,4.0,4.0,1.0,flamengo
1550000,1750,120.0,3.0,3.0,2.0,gávea
350000,150,90.0,3.0,1.0,0.0,engenho novo
285000,531,56.0,2.0,2.0,1.0,pitangueiras
760000,1100,100.0,2.0,2.0,2.0,tijuca
1350000,1500,84.0,2.0,2.0,1.0,botafogo
2400000,0,694.0,4.0,4.0,3.0,tijuca
1375000,963,102.0,2.0,2.0,0.0,ipanema
368000,621,60.0,1.0,2.0,1.0,tijuca
1290000,1500,130.0,3.0,2.0,1.0,copacabana
920000,980,70.0,2.0,3.0,1.0,flamengo
690000,1850,115.0,3.0,3.0,2.0,tijuca
1400000,1600,117.0,3.0,4.0,1.0,leme
340000,670,67.0,2.0,2.0,1.0,barra da tijuca
750000,0,103.0,2.0,3.0,1.0,grajaú
470000,670,70.0,2.0,2.0,1.0,freguesia
540000,1200,70.0,2.0,2.0,2.0,barra da tijuca
820000,1000,137.0,2.0,4.0,2.0,jacarepaguá
1080000,1550,88.0,2.0,2.0,1.0,catete
380000,380,40.0,1.0,1.0,1.0,tijuca
478000,1143,78.0,2.0,2.0,2.0,recreio dos bandeirantes
3650000,3600,278.0,4.0,6.0,3.0,barra da tijuca
1750000,1300,105.0,3.0,3.0,2.0,botafogo
1030000,0,58.0,1.0,1.0,1.0,glória
1900000,1989,192.0,2.0,2.0,4.0,barra da tijuca
3200000,1700,436.0,4.0,3.0,2.0,barra da tijuca
340000,1000,66.0,2.0,2.0,1.0,andaraí
2450000,1900,265.0,4.0,4.0,3.0,barra da tijuca
530000,900,84.0,3.0,3.0,2.0,camorim
